location_id,countryID,longitude,latitude,locationName,isMobile,isMonitor,provider,sensorID,instruments,sensorParameterID,firstUpdated,lastUpdated
225448,ZA,27.87214,-26.25261,Jabavu-NAQI,False,True,South Africa,"1303538, 1303596, 1303486, 1303373",Government Monitor,"10, 1, 2, 9",2021-04-28T00:00:00Z,2024-03-12T10:00:00Z
225449,ZA,27.86711,-26.47964,Orange Farm,False,True,South Africa,"1303558, 1303636, 1303542",Government Monitor,"10, 1, 9",2021-04-29T15:00:00Z,2024-03-12T10:00:00Z
225450,ZA,29.07457,-26.57034,eMbalenhle South,False,True,South Africa,"4293090, 1303442, 4293093, 1303575, 1303419, 1303661",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T15:00:00Z,2023-06-21T13:00:00Z
225451,ZA,27.99946,-26.65702,Three Rivers,False,True,South Africa,"1303496, 4276101, 1303530, 4275933, 1303428, 1303481, 1303512, 1303526",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225452,ZA,26.6056,-26.89605,Jouberton,False,True,South Africa,"4275966, 1303614, 4276236, 2087369, 2087370, 1303572",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225453,ZA,28.1321,-25.71365,Booysens,False,True,South Africa,"1347134, 4275755, 1303431, 4275646, 1347133, 1303465, 1303466",Government Monitor,"8, 35, 7, 19840, 10, 1, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225454,ZA,18.41078,-33.93786,Molteno,False,True,South Africa,"5079599, 1303407, 5079600, 1562268",Government Monitor,"35, 7, 19840, 10",2021-04-29T13:00:00Z,2024-03-12T11:00:00Z
225455,ZA,27.92461,-25.74712,Xanadu-NAQI,False,True,South Africa,"1303576, 4299499, 1303445, 4299498, 1303540, 1303584, 1303392, 1303435",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225456,ZA,28.11026,-26.10703,Alexandra-NAQI,False,True,South Africa,"1303551, 1303621, 1303624",Government Monitor,"1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225457,ZA,31.13965,-23.93199,Phalaborwa-NAQI,False,True,South Africa,"1993043, 4405898, 1303409, 4405897, 1303463, 1303381, 1303635, 1303405",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T03:00:00Z,2024-03-01T05:00:00Z
225458,ZA,22.47311,-33.98111,George-NAQI,False,True,South Africa,"1303380, 4276232, 1303386, 4275748, 1329025, 1303393, 1303396, 1303395",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2023-11-01T09:00:00Z
225459,ZA,28.91833,-26.38111,Lebohang,False,True,South Africa,"4277252, 1303634, 4277281, 1303400, 1303601, 1303556, 1303583",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T16:00:00Z,2024-03-12T10:00:00Z
225460,ZA,30.38061,-29.60206,Pietermaritzburg - CBD,False,True,South Africa,"1303545, 4277249, 1303473, 4277295, 1303422",Government Monitor,"8, 35, 7, 19840, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225461,ZA,28.09474,-25.62513,Rosslyn-NAQI,False,True,South Africa,"1303570, 1320285, 1329970, 1303652, 1303507, 1303644",Government Monitor,"8, 7, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225462,ZA,27.86778,-26.68979,Sharpeville,False,True,South Africa,"1303501, 4276126, 1306127, 4275683, 1303625, 1303504, 1303370, 1359201",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T15:00:00Z,2024-03-12T11:00:00Z
225463,ZA,29.11238,-26.55143,Embalenhle,False,True,South Africa,"5079601, 1303447, 5079602, 1303563, 1303578, 1303371, 1303594",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T16:00:00Z,2024-03-12T10:00:00Z
225464,ZA,19.14021,-31.39864,Karoo-NAQI,False,True,South Africa,"1303582, 5977734, 5977736, 5977735, 1303500, 1303615, 1303537, 1303408",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-11T21:00:00Z
225465,ZA,31.90973,-28.86887,eSikhaleni,False,True,South Africa,"1303417, 1305267, 1305268, 1303597",Government Monitor,"7, 1, 2, 9",2021-04-29T18:00:00Z,2023-11-14T13:00:00Z
225466,ZA,18.48276,-33.92755,Maitland,False,True,South Africa,"1303658, 1303503, 1303520, 1303532, 1303649",Government Monitor,"8, 7, 1, 2, 9",2021-04-29T17:00:00Z,2023-05-08T06:00:00Z
225467,ZA,18.56519,-33.9025,Goodwood-NAQI,False,True,South Africa,"5079604, 1303543, 5079605, 1585290, 1303469, 5079603, 1303571",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T13:00:00Z,2023-06-27T08:00:00Z
225473,ZA,32.01779,-28.66299,eNseleni - RBCAA,False,True,South Africa,1303973,Government Monitor,1,2021-04-29T15:00:00Z,2022-02-21T03:00:00Z
225487,ZA,32.05481,-28.74472,CBD RBCAA-NAQI,False,True,South Africa,"1303862, 1303837",Government Monitor,"1, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225488,ZA,30.92878,-30.00286,Prospecton,False,True,South Africa,1303771,Government Monitor,9,2021-04-29T17:00:00Z,2024-03-12T11:00:00Z
225495,ZA,25.5885,-33.98559,Walmer-NAQI,False,True,South Africa,"1303719, 1303865, 1303781, 1303975, 1303838, 1303951",Government Monitor,"8, 7, 10, 1, 2, 9",2021-04-29T17:00:00Z,2023-10-31T22:00:00Z
225506,ZA,25.61966,-33.79549,Motherwell,False,True,South Africa,"1303895, 1303716, 1303893, 1303818",Government Monitor,"7, 10, 1, 9",2021-04-29T17:00:00Z,2022-05-15T21:00:00Z
225517,ZA,30.97327,-29.95696,Southern Works,False,True,South Africa,1303882,Government Monitor,9,2021-04-29T17:00:00Z,2022-06-13T10:00:00Z
225521,ZA,31.89354,-28.82923,Felixton - RBCAA,False,True,South Africa,1303710,Government Monitor,9,2021-04-29T18:00:00Z,2024-03-12T10:00:00Z
225522,ZA,32.06274,-28.75239,Arboretum - RBCAA,False,True,South Africa,1303689,Government Monitor,9,2021-04-29T18:00:00Z,2024-03-12T10:00:00Z
225526,ZA,31.02729,-29.85828,City Hall - Durban-NAQI,False,True,South Africa,"1303896, 1303909, 1303749",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-02-23T01:00:00Z
225527,ZA,30.89018,-30.03323,Amanzimtoti,False,True,South Africa,"1303760, 1303858, 1303768",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-03-03T21:00:00Z
225532,ZA,31.01183,-29.85463,Warwick,False,True,South Africa,1303836,Government Monitor,8,2021-04-29T17:00:00Z,2021-07-20T21:00:00Z
225535,ZA,30.78202,-30.20803,Umkomaas,False,True,South Africa,"1303797, 1303947, 1303721, 1303823, 1303869",Government Monitor,"8, 10, 1, 2, 9",2021-04-29T18:00:00Z,2023-12-04T13:00:00Z
225539,ZA,31.00494,-29.92179,Grosvenor,False,True,South Africa,1303813,Government Monitor,9,2021-04-29T17:00:00Z,2024-02-16T23:00:00Z
225548,ZA,31.91168,-28.86524,Esikhawini - RBCAA,False,True,South Africa,"1303741, 1303852",Government Monitor,"1, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225550,ZA,30.97348,-29.92886,Jacobs Balfour,False,True,South Africa,1303924,Government Monitor,9,2021-04-29T17:00:00Z,2024-01-12T10:00:00Z
225608,ZA,30.58754,-29.73575,Cato Ridge,False,True,South Africa,"1304080, 1304429, 1304226",Government Monitor,"1, 2, 9",2021-04-29T18:00:00Z,2022-05-11T09:00:00Z
225662,ZA,29.07903,-26.55064,Secunda,False,True,South Africa,"1304070, 4275648, 1304246, 4275930, 1304401, 1336710, 1304285, 1304121",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T19:00:00Z,2024-03-12T11:00:00Z
225670,ZA,30.9646,-29.94852,Ganges-NAQI,False,True,South Africa,"1304083, 1304190, 1304410, 1304215",Government Monitor,"7, 1, 2, 9",2021-04-29T18:00:00Z,2021-10-08T17:00:00Z
225703,ZA,30.73214,-29.77617,Alverstone,False,True,South Africa,1304488,Government Monitor,10,2021-04-29T20:00:00Z,2021-06-01T00:00:00Z
225717,ZA,28.20395,-25.99292,Ivory Park,False,True,South Africa,"1304536, 1304533, 1304500",Government Monitor,"10, 1, 9",2021-04-29T14:00:00Z,2024-02-27T17:00:00Z
